price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price_kbb,mpg,rating,year_kbb,year_difference,new_price,depreciation,depreciation per year
8995.0,2011,chevrolet,traverse,good,6,gas,178054.0,clean,automatic,4wd,full-size,SUV,white,30995.0,Low mpg (20 - 30),4.3,2021,10,25426.696,0.646237953999214,0.0986963627160864
10995.0,2014,ford,explorer,good,6,gas,170259.0,clean,automatic,4wd,full-size,SUV,white,33470.0,Low mpg (20 - 30),4.1,2021,7,29137.649,0.6226531522841805,0.12996967657764302
12984.0,2016,nissan,rogue,excellent,4,gas,86942.0,clean,automatic,4wd,mid-size,SUV,blue,26745.0,Low mpg (20 - 30),4.7,2021,5,24223.771,0.4639975749440498,0.11725889325454819
17382.0,2015,nissan,pathfinder,excellent,6,gas,48932.0,rebuilt,automatic,4wd,full-size,SUV,black,33075.0,Low mpg (20 - 30),4.1,2020,5,29957.047,0.4197692449459387,0.10314930513601916
25730.0,2017,ford,explorer,excellent,6,gas,49858.0,rebuilt,automatic,4wd,full-size,SUV,black,33470.0,Low mpg (20 - 30),4.1,2021,4,30921.106,0.16788228726359267,0.044905835344322464
15482.0,2016,subaru,crosstrek,excellent,4,gas,45431.0,rebuilt,automatic,4wd,full-size,SUV,black,23295.0,Low mpg (20 - 30),4.6,2021,5,21098.999,0.2662211131438036,0.060032057443728304
21500.0,2014,chevrolet,suburban,excellent,8,gas,115000.0,clean,automatic,4wd,full-size,SUV,red,52995.0,,4.6,2021,7,46135.337,0.5339797778002575,0.10333699494605453
4500.0,2010,chevrolet,impala,good,6,gas,105000.0,clean,automatic,fwd,mid-size,sedan,brown,32495.0,Low mpg (20 - 30),4.0,2020,10,26657.218,0.8311901864628184,0.16297241842986465
13800.0,2008,chevrolet,tahoe,good,8,gas,108869.0,clean,automatic,rwd,full-size,SUV,black,50295.0,,4.7,2021,13,38879.671,0.6450587249053625,0.07658557564338275
4500.0,2005,nissan,armada,good,8,gas,195413.0,clean,automatic,fwd,full-size,SUV,blue,48895.0,,4.1,2020,15,36329.705,0.8761344194784957,0.1299783842572697
4900.0,2012,chrysler,300,good,6,gas,251000.0,clean,automatic,4wd,full-size,sedan,black,31535.0,Low mpg (20 - 30),4.0,2020,8,26914.819,0.8179441593123847,0.1917874739442128
17995.0,2019,hyundai,tucson,like new,4,gas,22289.0,clean,automatic,4wd,mid-size,SUV,blue,24840.0,Low mpg (20 - 30),4.2,2021,2,23875.433,0.24629639177643403,0.1318389502957611
6995.0,2013,kia,soul,excellent,4,gas,110346.0,salvage,automatic,fwd,mid-size,SUV,black,18610.0,Low mpg (20 - 30),4.6,2021,8,15883.456,0.5596046603459599,0.09743115310200778
17237.0,2017,nissan,rogue,excellent,4,gas,28269.0,clean,automatic,4wd,mid-size,SUV,silver,26745.0,Low mpg (20 - 30),4.7,2021,4,24708.246,0.30237864719332963,0.08608681851627065
11999.0,2017,dodge,journey,excellent,4,gas,66782.0,clean,automatic,fwd,mid-size,SUV,white,25170.0,Low mpg (20 - 30),2.9,2020,3,23718.253,0.49410270646830523,0.20319120576871985
2995.0,2000,ford,mustang,good,6,gas,103369.0,clean,automatic,rwd,mid-size,coupe,white,27765.0,Low mpg (20 - 30),4.6,2020,20,18685.049,0.8397114184715277,0.0874742481238363
14900.0,2016,kia,optima,excellent,4,gas,48900.0,clean,automatic,fwd,mid-size,sedan,black,24355.0,Low mpg (20 - 30),4.4,2020,4,22500.255,0.3377852828779052,0.09791033535685145
3995.0,2007,honda,civic,excellent,4,gas,161776.0,clean,automatic,fwd,sub-compact,coupe,black,22005.0,Medium mpg (30 - 40),4.6,2021,14,16677.04,0.7604490964823494,0.09703426084826938
5500.0,2013,volkswagen,jetta,excellent,4,gas,138000.0,clean,manual,fwd,full-size,sedan,black,19815.0,Medium mpg (30 - 40),4.4,2020,7,17250.15,0.6811621927925264,0.15066034398084271
2200.0,2001,volkswagen,passat,good,4,gas,215000.0,clean,manual,fwd,mid-size,sedan,black,23915.0,Low mpg (20 - 30),4.1,2020,19,16415.992,0.8659843401483139,0.10037644448244742
1900.0,2003,honda,civic,good,4,gas,200000.0,clean,automatic,fwd,compact,sedan,silver,22005.0,Medium mpg (30 - 40),4.6,2021,18,15407.007,0.8766794874565839,0.10977053965702843
11995.0,2012,chevrolet,camaro,good,6,gas,116435.0,clean,automatic,rwd,mid-size,coupe,silver,25995.0,Low mpg (20 - 30),4.3,2020,8,22186.482,0.45935547600561455,0.07399362603225956
6995.0,2010,nissan,altima,excellent,4,gas,140000.0,clean,automatic,fwd,mid-size,sedan,white,25225.0,Medium mpg (30 - 40),4.3,2021,11,20287.535,0.6552070027235936,0.0922633763698929
5995.0,2009,subaru,forester,excellent,4,gas,170000.0,clean,automatic,4wd,full-size,wagon,grey,25845.0,Low mpg (20 - 30),4.0,2021,12,20378.606,0.7058189357996323,0.09693732434254632
14799.0,2017,kia,sportage,excellent,4,gas,44026.0,clean,automatic,4wd,full-size,SUV,silver,25110.0,Low mpg (20 - 30),4.3,2021,4,23197.759,0.3620504463383726,0.10629006778309802
30995.0,2020,buick,enclave,excellent,6,gas,35915.0,clean,automatic,fwd,full-size,SUV,grey,41195.0,Low mpg (20 - 30),4.0,2020,1,40387.255,0.232554923576757,0.232554923576757
7900.0,2012,honda,civic,excellent,4,gas,120000.0,clean,automatic,fwd,mid-size,coupe,blue,22005.0,Medium mpg (30 - 40),4.6,2021,9,18412.8,0.570950643030935,0.08973577855987225
16500.0,2016,buick,encore,like new,4,gas,27000.0,clean,automatic,4wd,compact,SUV,white,24195.0,Low mpg (20 - 30),3.9,2021,5,21914.157,0.2470620704232428,0.05517400156669805
18900.0,2011,chevrolet,tahoe,excellent,8,gas,105000.0,clean,automatic,4wd,full-size,SUV,white,50295.0,,4.7,2021,10,41259.418,0.5419227677908592,0.07510193540555765
4450.0,2007,hyundai,elantra,excellent,4,gas,145000.0,clean,manual,fwd,compact,sedan,white,20645.0,Medium mpg (30 - 40),4.8,2021,14,15646.33,0.7155882561597512,0.0858946477983783
5995.0,2010,subaru,forester,excellent,4,gas,177000.0,clean,automatic,4wd,full-size,wagon,blue,25845.0,Low mpg (20 - 30),4.0,2021,11,20786.178,0.7115871902953972,0.10687876937156282
16990.0,2015,lincoln,mkc,good,4,gas,79307.0,clean,automatic,4wd,full-size,SUV,custom,34990.0,Low mpg (20 - 30),4.0,2019,4,32325.351,0.47440632585861164,0.14854336831657555
5100.0,2014,nissan,versa note,excellent,4,gas,42303.0,rebuilt,automatic,fwd,compact,hatchback,white,16575.0,Medium mpg (30 - 40),4.3,2019,5,15012.488,0.6602828258713679,0.19420698097247835
7995.0,2006,honda,pilot,good,6,gas,153741.0,clean,automatic,4wd,full-size,SUV,blue,33370.0,Low mpg (20 - 30),4.6,2021,15,24794.402,0.6775481820452858,0.07267709157167934
7795.0,2008,ford,edge,good,6,gas,140123.0,clean,automatic,4wd,full-size,SUV,orange,32345.0,Low mpg (20 - 30),3.8,2020,12,25503.812,0.6943594157610635,0.0940569065950756
