price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price_kbb,mpg,rating,year_kbb
8995.0,2011.0,chevrolet,traverse,good,6 cylinders,gas,178054.0,clean,automatic,4wd,full-size,SUV,white,30995.0,21.0,4.3 / 5,2021.0
10995.0,2014.0,ford,explorer,good,6 cylinders,gas,170259.0,clean,automatic,4wd,full-size,SUV,white,33470.0,24.0,4.1 / 5,2021.0
12984.0,2016.0,nissan,rogue,excellent,4 cylinders,gas,86942.0,clean,automatic,4wd,mid-size,SUV,blue,26745.0,30.0,4.7 / 5,2021.0
17382.0,2015.0,nissan,pathfinder,excellent,6 cylinders,gas,48932.0,rebuilt,automatic,4wd,full-size,SUV,black,33075.0,23.0,4.1 / 5,2020.0
25730.0,2017.0,ford,explorer,excellent,6 cylinders,gas,49858.0,rebuilt,automatic,4wd,full-size,SUV,black,33470.0,24.0,4.1 / 5,2021.0
15482.0,2016.0,subaru,crosstrek,excellent,4 cylinders,gas,45431.0,rebuilt,automatic,4wd,full-size,SUV,black,23295.0,25.0,4.6 / 5,2021.0
21500.0,2014.0,chevrolet,suburban,excellent,8 cylinders,gas,115000.0,clean,automatic,4wd,full-size,SUV,red,52995.0,18.0,4.6 / 5,2021.0
4500.0,2010.0,chevrolet,impala,good,6 cylinders,gas,105000.0,clean,automatic,fwd,mid-size,sedan,brown,32495.0,22.0,4.5 / 5,2020.0
13800.0,2008.0,chevrolet,tahoe,good,8 cylinders,gas,108869.0,clean,automatic,rwd,full-size,SUV,black,50295.0,18.0,4.7 / 5,2021.0
4500.0,2005.0,nissan,armada,good,8 cylinders,gas,195413.0,clean,automatic,fwd,full-size,SUV,blue,48895.0,16.0,4.1 / 5,2020.0
4900.0,2012.0,chrysler,300,good,6 cylinders,gas,251000.0,clean,automatic,4wd,full-size,sedan,black,31535.0,23.0,4.0 / 5,2020.0
17995.0,2019.0,hyundai,tucson,like new,4 cylinders,gas,22289.0,clean,automatic,4wd,mid-size,SUV,blue,24840.0,25.0,4.2 / 5,2021.0
6995.0,2013.0,kia,soul,excellent,4 cylinders,gas,110346.0,salvage,automatic,fwd,mid-size,SUV,black,18610.0,27.0,4.6 / 5,2021.0
17237.0,2017.0,nissan,rogue,excellent,4 cylinders,gas,28269.0,clean,automatic,4wd,mid-size,SUV,silver,26745.0,30.0,4.7 / 5,2021.0
11999.0,2017.0,dodge,journey,excellent,4 cylinders,gas,66782.0,clean,automatic,fwd,mid-size,SUV,white,25170.0,21.0,2.9 / 5,2020.0
2995.0,2000.0,ford,mustang,good,6 cylinders,gas,103369.0,clean,automatic,rwd,mid-size,coupe,white,27765.0,24.0,4.6 / 5,2020.0
14900.0,2016.0,kia,optima,excellent,4 cylinders,gas,48900.0,clean,automatic,fwd,mid-size,sedan,black,24355.0,27.0,4.4 / 5,2020.0
3995.0,2007.0,honda,civic,excellent,4 cylinders,gas,161776.0,clean,automatic,fwd,sub-compact,coupe,black,22005.0,33.0,4.6 / 5,2021.0
5500.0,2013.0,volkswagen,jetta,excellent,4 cylinders,gas,138000.0,clean,manual,fwd,full-size,sedan,black,19815.0,34.0,4.4 / 5,2020.0
2200.0,2001.0,volkswagen,passat,good,4 cylinders,gas,215000.0,clean,manual,fwd,mid-size,sedan,black,23915.0,27.0,4.1 / 5,2020.0
